M&N	K	Batches	MB	Iterations	Gflops
1024	256	32	96	320	4713.12
1024	256	64	192	160	4725.2
1024	256	128	384	80	4731.16
1024	256	256	768	40	4735.5
64	512	1	0	10000	41.44
64	512	2	0	10000	82.65
64	512	4	0	10000	163.84
64	512	8	1	10000	330.15
64	512	16	2	10000	666.39
64	512	32	4	10000	1318.97
64	512	64	8	10000	2057.69
64	512	128	17	10000	2434.16
64	512	256	34	5120	2801.69
64	512	512	68	2560	3168.31
64	512	1024	136	1280	3408.6
64	512	2048	272	640	3513.14
64	512	4096	544	320	3591.53
128	512	1	0	10000	249.74
128	512	2	0	10000	504.14
128	512	4	1	10000	1006.62
128	512	8	2	10000	1995.36
128	512	16	4	10000	2843.79
128	512	32	9	10000	3318.34
128	512	64	18	5120	3477.24
128	512	128	36	2560	3855.86
128	512	256	72	1280	4063.41
128	512	512	144	640	4194.28
128	512	1024	288	320	4256.34
128	512	2048	576	160	4287.94
128	512	4096	1152	80	4304.09
256	512	1	0	10000	1347.5
256	512	2	1	10000	2700.15
256	512	4	2	10000	3529.69
256	512	8	5	10000	3911.59
256	512	16	10	5120	3893.27
256	512	32	20	2560	4204.08
256	512	64	40	1280	4384.39
256	512	128	80	640	4488.18
256	512	256	160	320	4541.63
256	512	512	320	160	4569.52
256	512	1024	640	80	4580.15
256	512	2048	1280	40	4587.86
512	512	1	1	10000	3995.23
512	512	2	3	10000	4277.28
512	512	4	6	5120	4112.7
512	512	8	12	2560	4377.25
512	512	16	24	1280	4520.36
512	512	32	48	640	4572.04
512	512	64	96	320	4618.6
512	512	128	192	160	4646.23
512	512	256	384	80	4719
512	512	512	768	40	4730.46
512	512	1024	1536	20	4708.66
1024	512	1	4	5120	4527.95
1024	512	2	8	2560	4441.36
1024	512	4	16	1280	4551.44
1024	512	8	32	640	4641.68
1024	512	16	64	320	4690.09
1024	512	32	128	160	4714.38
1024	512	64	256	80	4726.86
1024	512	128	512	40	4733.31
1024	512	256	1024	20	4762.87
64	1024	1	0	10000	41.39
64	1024	2	0	10000	82.57
64	1024	4	1	10000	163.03
64	1024	8	2	10000	331.96
64	1024	16	4	10000	666.95
64	1024	32	8	10000	1319.92
64	1024	64	16	10000	2053.77
64	1024	128	33	5120	2435.44
64	1024	256	66	2560	2808.43
64	1024	512	132	1280	3170.92
64	1024	1024	264	640	3405.75
64	1024	2048	528	320	3511.8
64	1024	4096	1056	160	3589.87
128	1024	1	0	10000	249.74
128	1024	2	1	10000	504.76
128	1024	4	2	10000	1009.61
128	1024	8	4	10000	1997.76
128	1024	16	8	10000	2839.3
128	1024	32	17	5120	3316.69
128	1024	64	34	2560	3479
128	1024	128	68	1280	3859.39
128	1024	256	136	640	4064.37
128	1024	512	272	320	4190.99
128	1024	1024	544	160	4256.34
128	1024	2048	1088	80	4286.03
256	1024	1	1	10000	1360.29
256	1024	2	2	10000	2698.6
256	1024	4	4	10000	3531.07
256	1024	8	9	5120	3912.98
256	1024	16	18	2560	3898.15
256	1024	32	36	1280	4209.37
256	1024	64	72	640	4385.3
256	1024	128	144	320	4487.91
256	1024	256	288	160	4543.95
256	1024	512	576	80	4568.74
256	1024	1024	1152	40	4580.3
512	1024	1	2	10000	4004.06
512	1024	2	5	5120	4285.47
512	1024	4	10	2560	4114.17
512	1024	8	20	1280	4378.39
512	1024	16	40	640	4542.9
512	1024	32	80	320	4639.8
512	1024	64	160	160	4687.31
512	1024	128	320	80	4712.15
512	1024	256	640	40	4725.98
512	1024	512	1280	20	4731.65
1024	1024	1	6	2560	4535.91
1024	1024	2	12	1280	4444.6
1024	1024	4	24	640	4553.4
1024	1024	8	48	320	4638.96
1024	1024	16	96	160	4689.02
1024	1024	32	192	80	4714.63
1024	1024	64	384	40	4728.08
1024	1024	128	768	20	4798.85
1024	1024	256	1536	10	4782.56

